"Type","Status","Nationality","2017","2018","2019","2020","2021","2022","2023","2024"
"Domestic Residence & Permissions applications","Received","Afghanistan","13","104","84","82","222","376","830","553"
"Domestic Residence & Permissions applications","Received","Åland Islands","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Albania","32","307","303","195","305","364","211","105"
"Domestic Residence & Permissions applications","Received","Algeria","31","134","102","112","224","1030","2305","1480"
"Domestic Residence & Permissions applications","Received","American Samoa","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Andorra","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Angola","*","16","11","9","20","35","32","25"
"Domestic Residence & Permissions applications","Received","Anguilla","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Antarctica","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Antigua and Barbuda","0","0","0","0","0","*","0","0"
"Domestic Residence & Permissions applications","Received","Argentina","22","17","15","31","40","59","58","53"
"Domestic Residence & Permissions applications","Received","Armenia","*","4","5","0","4","7","8","*"
"Domestic Residence & Permissions applications","Received","Aruba","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Australia","126","115","108","65","52","71","81","66"
"Domestic Residence & Permissions applications","Received","Azerbaijan","*","4","*","*","7","6","12","7"
"Domestic Residence & Permissions applications","Received","Bahamas (the)","0","0","*","*","*","*","0","*"
"Domestic Residence & Permissions applications","Received","Bahrain","6","12","4","*","*","*","*","0"
"Domestic Residence & Permissions applications","Received","Bangladesh","125","400","142","102","201","447","357","657"
"Domestic Residence & Permissions applications","Received","Barbados","*","*","0","*","*","*","*","*"
"Domestic Residence & Permissions applications","Received","Belarus","10","14","17","13","19","41","46","17"
"Domestic Residence & Permissions applications","Received","Belize","0","0","*","0","*","*","*","*"
"Domestic Residence & Permissions applications","Received","Benin","*","*","*","*","*","*","*","*"
"Domestic Residence & Permissions applications","Received","Bermuda","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Bhutan","0","*","*","*","0","*","0","0"
"Domestic Residence & Permissions applications","Received","Bolivia (Plurinational State of)","18","30","36","41","44","108","117","122"
"Domestic Residence & Permissions applications","Received","Bonaire, Sint Eustatius and Saba","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Bosnia and Herzegovina","*","*","*","0","*","*","4","0"
"Domestic Residence & Permissions applications","Received","Botswana","26","38","50","58","62","322","451","399"
"Domestic Residence & Permissions applications","Received","Bouvet Island","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Brazil","653","730","1048","816","1177","3149","2175","1775"
"Domestic Residence & Permissions applications","Received","Brunei Darussalam","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Burkina Faso","0","0","0","0","*","0","*","0"
"Domestic Residence & Permissions applications","Received","Burundi","*","8","*","5","9","6","12","10"
"Domestic Residence & Permissions applications","Received","Cabo Verde","*","0","*","0","0","*","0","0"
"Domestic Residence & Permissions applications","Received","Cambodia","*","*","*","*","*","*","*","6"
"Domestic Residence & Permissions applications","Received","Cameroon","24","45","37","36","37","52","51","52"
"Domestic Residence & Permissions applications","Received","Canada","97","89","79","73","91","120","100","76"
